CNPJ;RAZÃO SOCIAL;NOME FANTASIA;MATRIZ/FILIAL;SITUAÇÃO CADASTRAL;DATA INICIO ATIVIDADE;DATA INICIO ATIVIDADE (BR);DESCRIÇÃO MOTIVO;DATA SITUAÇÃO CADASTRAL;DATA SITUAÇÃO CADASTRAL (BR);CNAE PRINCIPAL;CNAE SECUNDÁRIO;NATUREZA JURÍDICA;CAPITAL SOCIAL;PORTE;OPTANTE SIMPLES;OPTANTE MEI;LOGRADOURO;NÚMERO;COMPLEMENTO;BAIRRO;CEP;UF;MUNICIPIO;DDD 1;TELEFONE 1;DDD 2;TELEFONE 2;EMAIL
43.147.257/0001-83;A.M CONVENIENCIA E TABACARIA LTDA;A.M CONVENIENCIA E TABACARIA;1;ATIVA;16/08/2021;16/08/2021;NULL;07/03/2025;07/03/2025;Comércio varejista de mercadorias em lojas de conveniência;NULL;Sociedade Empresária Limitada;80000.00;MICRO EMPRESA;S;N;APOSTOLO PASCHOAL;394;SALA  02;CANASVIEIRAS;88054100;SC;FLORIANOPOLIS;48;99955837;;;PROCESSOS@GEOFLORIPA.COM
48.670.758/0001-63;ALL BEER ARMAZEM E CONVENIENCIA LTDA;ALL BEER ARMAZEM E CONVENIENCIA;1;ATIVA;21/11/2022;21/11/2022;NULL;21/11/2022;21/11/2022;Comércio varejista de mercadorias em lojas de conveniência;NULL;Sociedade Empresária Limitada;120000.00;MICRO EMPRESA;S;N;APOSTOLO PASCHOAL;464;SALA;CANASVIEIRAS;88054100;SC;FLORIANOPOLIS;48;88143052;;;ALLBEERCONVENIENCIA@GMAIL.COM
49.781.425/0001-74;ADAO FOGACA DE ALMEIDA JUNIOR LTDA;MERCADO ALMEIDA JR;1;ATIVA;02/03/2023;02/03/2023;NULL;02/03/2023;02/03/2023;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;NULL;Sociedade Empresária Limitada;20000.00;MICRO EMPRESA;S;N;DOUGLAS SEABRA LEVIER;216;;CARVOEIRA;88040410;SC;FLORIANOPOLIS;48;88191339;;;JUNIORALMEIDACAPITAO@GMAIL.COM
46.332.808/0001-77;FERNANDO SCHNEIDER 06942810932;CONVENIENCIAS SR. ZE;1;ATIVA;10/05/2022;10/05/2022;NULL;10/05/2022;10/05/2022;Comércio varejista de bebidas;NULL;Empresário (Individual);10000.00;MICRO EMPRESA;S;N;PREFEITO DIB CHEREM;2257;;CAPOEIRAS;88090000;SC;FLORIANOPOLIS;48;84321996;;;FERNANDOSCHNEIDER975@GMAIL.COM
48.020.613/0001-17;MINI MERCADO MANUELLA LTDA;SUPERMERCADO MANUELLA;1;ATIVA;20/09/2022;20/09/2022;NULL;20/09/2022;20/09/2022;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;Comércio varejista de mercadorias em lojas de conveniência;Sociedade Empresária Limitada;10000.00;MICRO EMPRESA;N;N;GOVERNADOR IVO SILVEIRA;1390;;ESTREITO;88075005;SC;FLORIANOPOLIS;48;84275832;;;ROSY_MLK@HOTMAIL.COM
49.319.546/0001-07;BONA CONVENIENCIA LTDA;BONA CONVENIENCIA;1;ATIVA;24/01/2023;24/01/2023;NULL;24/01/2023;24/01/2023;Comércio varejista de bebidas;NULL;Sociedade Empresária Limitada;50000.00;MICRO EMPRESA;S;N;PROFESSORA ROSINHA CAMPOS;15;SALA  02 E 03;ABRAAO;88085160;SC;FLORIANOPOLIS;48;91775869;;;AUGUSTOMURAT@GMAIL.COM
39.479.623/0001-24;ROSALINA CELIA CARVALHO DE FRAGA LTDA;MERCADO FRAGA;1;ATIVA;19/10/2020;19/10/2020;NULL;19/10/2020;19/10/2020;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;NULL;Sociedade Empresária Limitada;10000.00;MICRO EMPRESA;S;N;QUINZE DE NOVEMBRO;128;ANDAR TERREO;BALNEARIO;88075220;SC;FLORIANOPOLIS;48;30303025;;;CELIAFRAGA12@GMAIL.COM
38.170.600/0001-70;DISK TRAGO CONVENIENCIA E MERCEARIA LTDA;DISK TRAGO CONVENIENCIA;1;ATIVA;20/08/2020;20/08/2020;NULL;20/08/2020;20/08/2020;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;Bares e outros estabelecimentos especializados em servir bebidas sem entretenimento;Sociedade Empresária Limitada;10000.00;MICRO EMPRESA;S;N;FRANCISCO MAGNO VIEIRA;2785;;RIO TAVARES;88063700;SC;FLORIANOPOLIS;48;91062104;;;DISKTRAGO.COMERCIAL@GMAIL.COM
83.646.984/0107-68;A. ANGELONI & CIA. LTDA;SUPERMERCADOS ANGELONI;2;ATIVA;24/03/2022;24/03/2022;NULL;24/03/2022;24/03/2022;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - supermercados;NULL;Sociedade Empresária Limitada;61924500.00;DEMAIS;NULL;NULL;HOEPCKE;168;;CENTRO;88010130;SC;FLORIANOPOLIS;48;34617500;;;ADM.EDI@ANGELONI.COM.BR
48.199.211/0001-21;MERCADO ROSA LTDA;MERCADO ROSA;1;ATIVA;05/10/2022;05/10/2022;NULL;05/10/2022;05/10/2022;Comércio varejista de mercadorias em geral com predominância de produtos alimentícios - minimercados mercearias e armazéns;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;Sociedade Empresária Limitada;1000.00;MICRO EMPRESA;S;N;JOAO DA CRUZ MEIRA;257;;TRINDADE;88036115;SC;FLORIANOPOLIS;48;96963846;;;GUSTMACHADO97@GMAIL.COM
